symbol,weight
NAS:QCOM,0.10000000000000012
NAS:ATVI,0.1
NAS:NLOK,0.09232603500148391
NYS:JOY,0.08033162838664042
NAS:FAST,0.07531083288800842
NAS:SIAL,0.0728860011121289
NAS:ESRX,0.06821761045182842
NAS:GILD,0.06664179468003002
NAS:ALTR,0.059547744841443796
NAS:AMGN,0.053439233001487396
NYS:TEVA,0.050234962601453444
NAS:GENZ,0.03965569890487897
NAS:DTV,0.03600482233095668
NAS:XLNX,0.021367511256774593
NAS:CHRW,0.018359500781887826
NAS:COST,0.017765746997751505
NAS:SRCL,0.01299515704752403
NAS:SPLS,0.012585124542025906
NAS:CELG,0.01178519769063829
NAS:LLTC,0.010545397483057568
