symbol,weight
NAS:LULU,0.10009739304399712
NAS:XLNX,0.10009739304399701
NAS:AMD,0.10009739304399701
NAS:WDAY,0.10009739304399701
NAS:VRSN,0.10009739304399701
NAS:TFCF,0.09958296248991312
NAS:TFCFA,0.09869561601840132
NAS:ORLY,0.05998787985658075
NAS:INTU,0.05544359420674501
NAS:ULTA,0.05109596910260253
NAS:UAL,0.04899281732400615
NAS:SBUX,0.024741224490009515
NAS:XEL,0.014964300359338704
NAS:VRSK,0.01405039949713197
NAS:FISV,0.013878334831543262
NAS:REGN,0.013019277554519332
NAS:ADBE,0.0031963125079034387
NAS:ADP,0.0018643465413198392
