symbol,weight
NAS:BIDU,0.10000000000000009
NAS:SNDK,0.09999999999999998
NAS:ILMN,0.09999999999999998
NAS:CTXS,0.09999999999999998
NAS:NTAP,0.09196398768956321
NAS:BKNG,0.08955567203391834
NAS:INTU,0.07979232832026567
NAS:AAPL,0.05681945911398279
NYS:EXPD,0.055523090593365895
NAS:VRSN,0.04728360378885536
NAS:FAST,0.04673962214538404
NAS:CTSH,0.04264416787698802
NAS:ORLY,0.03224483460735555
NAS:VMED,0.021652265004282696
NAS:GENZ,0.015381159059250884
NAS:DTV,0.013790156786753105
NAS:ALTR,0.006609652980034325
