symbol,weight
NAS:MNST,0.10000000000000009
NAS:ORLY,0.09999999999999998
NAS:EA,0.09999999999999998
NAS:AVGO,0.09999999999999998
NAS:DLTR,0.09003338178786137
NAS:ROST,0.08776300834207644
NAS:TSCO,0.07842555643485065
NAS:FISV,0.05585339904499766
NAS:SBUX,0.05407176108669136
NAS:NXPI,0.040481790342164814
NAS:ALTR,0.036765371644481626
NAS:CERN,0.03307332018812541
NAS:AAPL,0.02696640794540116
NAS:SPLS,0.017889802649736115
NAS:BRCM,0.017473387982390325
NAS:KRFT,0.016141884138134232
NAS:CTRX,0.015221353898730802
NAS:SIAL,0.012738470801483982
NAS:GILD,0.010253300204063806
NAS:ESRX,0.006847803508810172
