symbol,weight
NAS:NVDA,0.10000000000000007
NAS:NFLX,0.09999999999999998
NAS:ISRG,0.09999999999999998
NAS:META,0.09999999999999998
NAS:CPRT,0.09999999999999998
NAS:AMAT,0.079130092199767
NAS:FTNT,0.07462384549288972
NAS:ASML,0.062092091754339516
NAS:DXCM,0.05677985743200458
NAS:PCAR,0.05583995370137176
NAS:BKNG,0.05571847241611805
NAS:ORLY,0.029055145121284733
NAS:IDXX,0.027324042282716166
NAS:LRCX,0.024632761364882565
NAS:KLAC,0.01964169810063759
NAS:CDNS,0.008919569891822158
NAS:PANW,0.006242470242166114
