symbol,weight
NAS:EA,0.10085408034571912
NAS:AAPL,0.10085408034571902
NAS:CELG,0.10085408034571902
NAS:AVGO,0.10085408034571902
NAS:SPLS,0.08473618024388933
NAS:SIAL,0.06549908943631268
NAS:CHRW,0.05840169830897424
NAS:DLTR,0.05677831222262984
NAS:GILD,0.04649173956701466
NAS:BRCM,0.040397864897120134
NAS:LRCX,0.03927304901787432
NAS:VRTX,0.03891260198500555
NAS:MAR,0.03889244239128393
NAS:COST,0.03676434413195856
NAS:FISV,0.026318356371716325
NAS:SBAC,0.021903259728332607
NAS:BIDU,0.017401521662997556
NAS:REGN,0.01253601422890243
NAS:ORLY,0.012277204423111612
