symbol,weight
NAS:EXPE,0.10004309329693342
NAS:QRTEA,0.1000430932969333
NAS:CTSH,0.1000430932969333
NAS:CERN,0.1000430932969333
NAS:MRVL,0.1000430932969333
NAS:LIFE,0.08868308629232956
NAS:BRCM,0.08257791026679079
NAS:AAPL,0.08220203063943268
NAS:NVDA,0.06642968079311691
NAS:NTAP,0.04736662140543074
NAS:ROST,0.04626448832579365
NAS:FISV,0.02452784626499592
NYS:INFY,0.021738767100180176
NAS:CHKP,0.016133423704971485
NAS:BIDU,0.011492252559737218
NAS:SBUX,0.00647129143812804
NAS:WCRX,0.005897134724426255
