symbol,weight
NAS:ORLY,0.10009513728623061
NAS:VRTX,0.10009513728623061
NAS:AMGN,0.10009513728623061
NAS:APOL,0.10009513728623061
NAS:GILD,0.08921463478982004
NAS:ROST,0.07845664284163877
NAS:CHRW,0.07253101123307899
NAS:ADP,0.06896354831153428
NAS:SRCL,0.059493565315212306
NAS:FLIR,0.03872732090116953
NAS:GENZ,0.03761538635065931
NAS:ALTR,0.03469193445065895
NYS:TEVA,0.031205952901982758
NAS:CELG,0.02760976554522147
NYS:ORCL,0.023344703091577077
NAS:INTU,0.013910859504383385
NAS:WCRX,0.010015756326743749
NAS:CHKP,0.008061491333160512
NAS:PAYX,0.00577687795823642
