symbol,weight
NAS:BIDU,0.10031107832894239
NAS:FWLT,0.10031107832894229
NAS:ISRG,0.10031107832894229
NYS:BB,0.10031107832894229
NAS:SIAL,0.09742230523337746
NYS:TEVA,0.08781591087239005
NAS:ATVI,0.07113590470504909
NAS:VRSN,0.06571387114112104
NAS:ESRX,0.05304258015211687
NAS:FMCN,0.04980062577157159
NAS:SRCL,0.04263660521665078
NAS:STLD,0.03524829746032015
NYS:JOY,0.034762312670203147
NAS:HSIC,0.017775081684292156
NAS:APOL,0.01662889783019964
NAS:COST,0.01424969752082462
NAS:AAPL,0.012523596426114194
