symbol,weight
NAS:AKAM,0.10000000000000009
NAS:EXPD,0.09999999999999998
NAS:INTU,0.09999999999999998
NAS:CTSH,0.09999999999999998
NAS:NVDA,0.09999999999999998
NAS:GILD,0.0862368592217305
NYS:BB,0.07974342661624705
NAS:LRCX,0.0620004237536483
NAS:SBUX,0.05788171150426035
NAS:CHRW,0.05239647313175635
NAS:AAPL,0.043519707029787615
NAS:CSCO,0.031881326129212594
NYS:GRMN,0.029491353258953565
NAS:PCAR,0.023597909272803873
NAS:SIAL,0.014208665629171979
NAS:ISRG,0.013314609590217876
NAS:LAMR,0.005727534862209837
