symbol,weight
NAS:VMED,0.10000000000000009
NAS:TFCFA,0.09999999999999998
NAS:GILD,0.09999999999999998
NAS:EXPE,0.08812930661500713
NAS:LBTYA,0.07158591634703466
NAS:MYL,0.07068943316168659
NAS:NLOK,0.06791717852299133
NAS:CELG,0.06746181941502923
NAS:SBAC,0.054894129550740765
NAS:DISCA,0.052186616976553524
NAS:SIRI,0.04692203825458935
NAS:GOOGL,0.04024401600231265
NAS:CMCSA,0.03968535258631595
NAS:AMGN,0.03537912918197961
NAS:EBAY,0.030097517733053407
NAS:SNDK,0.0144313720562365
NAS:BIIB,0.014406048418270052
NAS:VIAB,0.005970125178199145
